location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,75-79,75,79,15455,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,f,80+,80,None,11790,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,0-4,0,4,386444,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,5-9,5,9,357797,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,10-14,10,14,326528,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,15-19,15,19,292206,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,20-24,20,24,231415,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,25-29,25,29,194635,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,30-34,30,34,153811,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,35-39,35,39,101272,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,40-44,40,44,82428,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,45-49,45,49,76699,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,50-54,50,54,68634,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,55-59,55,59,60243,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,60-64,60,64,48105,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,65-69,65,69,34352,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,70-74,70,74,23744,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,75-79,75,79,14788,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,m,80+,80,None,12171,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,0-4,0,4,762445,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,5-9,5,9,707269,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,15-19,15,19,592204,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,20-24,20,24,481435,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,25-29,25,29,394116,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,30-34,30,34,321426,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,35-39,35,39,241134,2024-01-01,2024-12-31
